1.00%	$0.00	$0.00	$0.00	0.00
2.00%	$1400.00	$610.12	$789.88	129.46%
3.00%	$5000.00	$4067.48	$932.52	22.93%
4.00%	$8174.00	$7118.10	$1055.90	14.83%
5.00%	$9860.00	$9151.84	$708.16	7.74%
6.00%	$11130.00	$10168.71	$961.29	9.45%
7.00%	$12210.00	$11185.58	$1024.42	9.16%
8.00%	$13596.00	$12308.21	$1287.79	10.46%
9.00%	$14843.00	$13592.52	$1250.48	9.20%
10.00%	$16020.00	$14849.37	$1170.63	7.88%
11.00%	$17226.00	$15912.00	$1314.00	8.26%
12.00%	$18427.00	$17143.43	$1283.57	7.49%
13.00%	$19745.00	$18303.68	$1441.32	7.87%
14.00%	$20826.00	$19341.91	$1484.09	7.67%
15.00%	$22066.00	$20337.42	$1728.58	8.50%
16.00%	$23502.00	$21386.83	$2115.17	9.89%
17.00%	$24872.00	$22585.73	$2286.27	10.12%
18.00%	$25668.00	$24021.55	$1646.45	6.85%
19.00%	$26926.00	$25197.05	$1728.95	6.86%
20.00%	$28035.00	$25986.14	$2048.86	7.88%
21.00%	$29677.00	$27292.82	$2384.18	8.74%
22.00%	$30480.00	$28472.39	$2007.61	7.05%
23.00%	$31983.00	$29710.94	$2272.06	7.65%
24.00%	$33005.00	$30510.20	$2494.80	8.18%
25.00%	$34301.00	$31727.40	$2573.60	8.11%
26.00%	$35289.00	$32844.94	$2444.06	7.44%
27.00%	$36695.00	$34237.04	$2457.96	7.18%
28.00%	$38200.00	$35590.49	$2609.51	7.33%
29.00%	$39861.00	$36511.78	$3349.22	9.17%
30.00%	$40348.00	$37624.23	$2723.77	7.24%
31.00%	$41821.00	$38702.12	$3118.88	8.06%
32.00%	$43000.00	$40381.99	$2618.01	6.48%
33.00%	$44488.00	$41062.27	$3425.73	8.34%
34.00%	$45300.00	$42664.86	$2635.14	6.18%
35.00%	$46863.00	$43766.13	$3096.87	7.08%
36.00%	$48200.00	$45351.44	$2848.56	6.28%
37.00%	$49801.00	$46320.52	$3480.48	7.51%
38.00%	$50310.00	$47792.94	$2517.06	5.27%
39.00%	$52000.00	$49114.88	$2885.12	5.87%
40.00%	$53431.00	$50843.56	$2587.44	5.09%
41.00%	$55000.00	$51120.15	$3879.85	7.59%
42.00%	$56100.00	$52674.94	$3425.06	6.50%
43.00%	$57727.00	$53953.15	$3773.85	6.99%
44.00%	$59274.00	$55816.06	$3457.94	6.20%
45.00%	$60124.00	$56944.79	$3179.21	5.58%
46.00%	$61851.00	$58404.00	$3447.00	5.90%
47.00%	$63401.00	$59995.40	$3405.60	5.68%
48.00%	$65001.00	$61027.52	$3973.48	6.51%
49.00%	$66700.00	$62557.91	$4142.09	6.62%
50.00%	$68400.00	$64093.39	$4306.61	6.72%
51.00%	$70021.00	$65953.25	$4067.75	6.17%
52.00%	$71885.00	$67225.35	$4659.65	6.93%
53.00%	$73520.00	$69039.45	$4480.55	6.49%
54.00%	$75044.00	$70736.61	$4307.39	6.09%
55.00%	$76785.00	$71992.44	$4792.56	6.66%
56.00%	$79001.00	$73744.51	$5256.49	7.13%
57.00%	$80379.00	$75899.26	$4479.74	5.90%
58.00%	$82403.00	$77109.34	$5293.66	6.87%
59.00%	$84821.00	$78874.63	$5946.37	7.54%
60.00%	$86402.00	$80867.70	$5534.30	6.84%
61.00%	$88938.00	$82366.56	$6571.44	7.98%
62.00%	$90718.00	$84420.64	$6297.36	7.46%
63.00%	$93002.00	$86474.72	$6527.28	7.55%
64.00%	$95204.00	$88471.86	$6732.14	7.61%
65.00%	$97628.00	$90961.16	$6666.84	7.33%
66.00%	$100000.00	$92536.29	$7463.71	8.07%
67.00%	$101960.00	$94841.54	$7118.46	7.51%
68.00%	$104416.00	$97184.41	$7231.59	7.44%
69.00%	$106731.00	$99805.90	$6925.10	6.94%
70.00%	$109560.00	$101891.51	$7668.49	7.53%
71.00%	$111800.00	$104403.18	$7396.82	7.08%
72.00%	$115000.00	$106873.16	$8126.84	7.60%
73.00%	$118000.00	$109407.20	$8592.80	7.85%
74.00%	$120508.00	$112059.20	$8448.80	7.54%
75.00%	$123580.00	$114916.61	$8663.39	7.54%
76.00%	$126626.00	$118074.00	$8552.00	7.24%
77.00%	$130350.00	$121705.24	$8644.76	7.10%
78.00%	$134212.00	$124363.34	$9848.66	7.92%
79.00%	$138229.00	$128125.77	$10103.23	7.89%
80.00%	$142400.00	$132193.25	$10206.75	7.72%
81.00%	$147076.00	$135856.02	$11219.98	8.26%
82.00%	$151212.00	$140328.22	$10883.78	7.76%
83.00%	$155769.00	$144539.08	$11229.92	7.77%
84.00%	$160522.00	$149581.75	$10940.25	7.31%
85.00%	$166285.00	$153673.64	$12611.36	8.21%
86.00%	$172104.00	$159080.34	$13023.66	8.19%
87.00%	$178051.00	$165244.62	$12806.38	7.75%
88.00%	$185005.00	$171851.23	$13153.77	7.65%
89.00%	$192490.00	$178813.74	$13676.26	7.65%
90.00%	$200968.00	$187307.67	$13660.33	7.29%
91.00%	$210315.00	$197314.70	$13000.30	6.59%
92.00%	$221399.00	$207041.07	$14357.93	6.93%
93.00%	$234322.00	$219817.04	$14504.96	6.60%
94.00%	$250590.00	$235075.19	$15514.81	6.60%
95.00%	$270358.00	$252493.18	$17864.82	7.08%
96.00%	$295532.00	$276588.96	$18943.04	6.85%
97.00%	$329352.00	$310655.16	$18696.84	6.02%
98.00%	$387116.00	$365232.67	$21883.33	5.99%
99.00%	$531020.00	$483131.76	$47888.24	9.91%
